Date;Sales;Season;Kalendar;Week-of-Month;Competitor spending;Salgdage;Unemployment rate;Tracking;Tracking-smoothed;Respons Media;Sol-Oslo;Oslo - Mean temperature;Oslo - Total precipitation;Bergen - Mean temperature;Bergen - Total precipitation;Print;InStore;DirectMarketing;RADIO;TV Taktisk;TV Image
2006-01;6546181.76;6049692.249;Newyear;2;13.11605976;60;3.050793651;48;42.75976096;5128316.142;6.05;-5.014285714;0.6;1.071428571;6.3;191712;1778;204302;0;1181695;0
2006-02;8928104.15;6992272.989;Normal;3;12.40776799;70;3.032275132;44.4;42.07666122;3710460.532;0.816666667;1.714285714;10.1;5.571428571;79.3;265277;1778;204302;0;0;0
2006-03;6950971.23;8109908.755;Normal;4;13.09089153;60;3.013756614;38.4;42.66388435;2716349.634;2.55;-4.728571429;23.5;2.642857143;38.3;383648;1778;204302;0;0;0
2006-04;7188102.9;7623157.672;Normal;5;12.97497283;60;2.984126984;40.23904382;42.93329559;2003395.935;27.18333333;-1.814285714;3.1;1.571428571;28.7;386147;1778;204302;0;0;0
2006-05;11118664.53;7486034.845;Normal;1;13.0947422;59;2.964021164;39.3442623;42.10680029;3136107.974;12.66666667;-2.357142857;5.7;3.3;19.7;579663;1918;218832;0;694753;0
2006-06;7850379.93;8904852.853;Normal;2;13.26641458;59;2.945502646;45.6;41.30680029;3501830.479;24.81666667;-4.828571429;36.1;3.357142857;104.9;2569769;1974;224644;0;582094;0
2006-07;6676129.37;6933014.231;Normal;3;13.80117751;60;2.926984127;44.54976303;41.99251457;3138561.757;5.983333333;-4.114285714;19.9;4.185714286;6.1;548692;1974;224644;0;0;1609658
2006-08;8346067.95;8035026.18;Normal;4;13.49363301;61;2.910582011;42.21453287;42.18693689;2874254.814;30.41666667;-0.542857143;0.2;2.585714286;0.9;435502;1974;224644;0;0;1699628
2006-09;10324647.95;8470026.18;Normal;1;13.7308094;60;2.895767196;38.8;42.39489942;4152410.18;23.46666667;-6.1;27.6;-1.833333333;4.7;675167;1834;209724;0;811516.2609;143117.7391
2006-10;7701707.25;8467614.582;Normal;2;13.91218791;60;2.880952381;43.2;41.59489942;4716819.523;39.18333333;-6.971428571;3.6;-0.728571429;1;2475810;1778;203756;0;735080.9556;170988.0444
2006-11;9640231.49;8586927.793;Normal;3;13.80242585;59;2.866137566;41.6;40.7735047;4055494.692;50.55;-1.642857143;0.2;1.528571429;1.2;539029;1778;203756;0;0;1715142
2006-12;7839622.76;9797220.436;Normal;4;13.93509915;59;2.853439153;40.8;40.68571429;3588021.2;65.73333333;-2.257142857;0.2;0.585714286;5.2;527085;1778;203756;0;0;1774946
2006-13;12289621.58;7598088.732;Normal;1;14.02765394;60;2.844444444;40;40;3260146.011;20.78333333;1.771428571;20.2;4.757142857;47.2;531031;1796;285390;0;0;1711985
2006-14;7845685.66;7144988.18;Palmes¿ndag;2;14.32661222;60;2.825925926;38.8;39.65714286;5279428.285;1.15;2.142857143;19.8;3.614285714;48.9;1736965;1841;489475;0;1093724.899;50835.10094
2006-15;7070266.63;8246382.293;1.easter;3;14.12313028;40;2.807407407;41.6;40.68571429;4404249.648;0;3.957142857;12.8;4.957142857;79.2;1228008;1841;489475;0;536051;0
2006-16;7937945.08;9321535.847;2.easter;4;14.29635736;50;2.788888889;34;41.08571429;5288371.37;21.66666667;6.057142857;1.9;5.842857143;44.1;575804;1841;489475;0;1035038;0
2006-17;14318747.23;8920000;Normal;1;14.84705824;70;2.767195767;40.8;41.6;5753401.717;11.78333333;7.185714286;18.1;8.771428571;33.1;2732157;1841;489475;0;949046;0
2006-18;9044144.09;9007072.045;Normal;2;14.38190223;50;2.752910053;48.8;41.88571429;5614509.037;53.38333333;12.02857143;10.3;15.17142857;7.2;2930105;1778;0;0;590598.9453;67963.0547
2006-19;11971641.47;9842072.045;St. bededag;3;14.74351789;60;2.741798942;43.6;42.22857143;7238330.456;83.51666667;15.42857143;0;11.72857143;15.8;2368372;1778;0;0;2000537;0
2006-20;12921041.03;11180000;Nationalday;4;14.37795319;51;2.730687831;43.6;43.31428571;7212231.061;22.31666667;9.571428571;35.9;9.628571429;45.2;2347633;1778;0;0;1386173;0
2006-21;10089857.84;12404284.49;Kristi himmelfartsdag;5;14.10412952;50;2.714814815;40.8;43.42857143;7138364.783;46.48333333;10.71428571;33.7;8.557142857;69.4;2049809;1778;0;0;1266926;0
2006-22;18171480.06;13245593.86;Normal;1;14.08323219;60;2.695238095;44;42.51428571;7222720.314;67.93333333;13;0.4;10;3.2;2327550;1830;121628;0;1429801;0
2006-23;12367527.17;12012162.01;1.pinse;2;14.20188342;50;2.676719577;41.6;42.28571429;5406447.217;79.51666667;12.45714286;0;10.04285714;0;450167;1869;212849;0;0;0
2006-24;13850304.66;13561082.71;2.pinse;3;14.0940944;60;2.658201058;41.6;41.54285714;6016185.146;91.25;15.98571429;0;13.45714286;21.7;628299;1869;212849;0;877637;0
2006-25;14185550.55;14163478.13;Normal;4;14.3735354;61;2.638624339;42.4;40.85714286;6389902.173;29.9;13.72857143;39.3;12.38571429;69.6;2603572;1869;212849;0;1441470;0
2006-26;15962356.7;14143477.98;Normal;1;14.37540419;60;2.613756614;42;40;4735272.11;77.18333333;15.37142857;18.2;13.51428571;0.1;466457;1853;152035;0;0;0
2006-27;10473557.67;11227632.99;Normal;2;14.25551201;60;2.591534392;38.4;39.54285714;3730294.123;69.91666667;18.6;0;17.04285714;28.8;904908;1813;0;0;0;0
2006-28;13317074.81;12601193.24;Normal;3;14.03738187;60;2.569312169;36;39.71428571;2856176.73;68.43333333;15.4;30.6;12.57142857;90.7;644254;1813;0;0;0;0
2006-29;9859579.38;10135124.81;Normal;4;13.78897564;60;2.547089947;38;39.2;2135729.378;68.55;18.02857143;0;15.11428571;28.7;360369;1813;0;0;0;0
2006-30;8793926.2;9892568.77;Normal;5;13.41797985;60;2.522222222;38.4;38.74285714;1591712.72;68.85;19.37142857;6;17.37142857;8.8;244252;1813;0;0;0;0
2006-31;12707142.21;9898061.919;Normal;1;13.30719126;60;2.507407407;42.8;39.32290249;1187809.559;77.46666667;18.75714286;25.4;16.87142857;23.9;222670;9577;182262;0;0;0
2006-32;11280584.86;10325000;Normal;2;13.33411919;60;2.492592593;38.8;40.06575964;904979.7575;39.36666667;17.37142857;17.9;14.5;16.4;381274;10871;212639;0;0;0
2006-33;11245587.36;11659251.61;Normal;3;13.77672927;60;2.477777778;38.8;40.75147392;944137.2577;29.93333333;15.35;41.9;15.07142857;27.5;366305;10871;212639;103520;0;0
2006-34;9782378.5;10684033.27;Normal;4;13.90847701;60;2.462962963;42.46031746;42.23718821;2579350.825;32.51666667;15.95714286;17.1;15.81428571;22.4;732535;10871;212639;0;828082;0
2006-35;17954366.55;11535073.1;Normal;1;13.87598931;60;2.446031746;41.2;41.35249433;3780060.438;42.11666667;13.14285714;49.1;13.48571429;53.8;2715190;7013;305633;0;1054350;0
2006-36;12240834.63;12475347.12;Normal;2;13.8837434;70;2.427513228;42.8;42.46255106;3021857.3;59.38333333;11.41428571;4.7;11.9;49.9;648826;1869;429625;0;583307;0
2006-37;13691349.81;13096934.19;Normal;3;13.9680233;60;2.408994709;48.8;42.11969392;4336143.265;37.33333333;12.72857143;0;14.17142857;4.7;612512;1869;429625;0;1265767;0
2006-38;12632105.31;10489311.04;Normal;4;14.21677932;60;2.39047619;36.60714286;41.71107714;5155216.551;19.73333333;14.08571429;4.1;15.05714286;75.2;2823110;1869;429625;0;1919978;0
2006-39;15916553.76;10239850.48;Normal;1;14.37228685;60;2.377248677;46.57039711;41.82536285;4020999.897;22.18333333;13.34285714;46.2;13.55714286;84.9;931909;2060;402909;0;467891;0
