YearMonth;Year;Month;HousePriceIndex;LeaseIndex;ConstructionCostIndex;RealEstateTransactions;LoansOfBanksToHouseholds;Un-indexedLoans;CentralBankRates;Inflation;PurchasingPower;PurchasingPowerOfWages;IndexLoans;CurrencyLoans;HousingStarts;HousingFinished
2000-01;2000;01;1;535;1;650;98176;36205;9,1475;4,6;-2,07;3,6;171070;195429;1220;1743
2000-02;2000;02;0,992327366;535,348959;1,000292816;650;99913;37310;9,497142857;7,16;-0,94;4,64;172049;198685;1220;1743
2000-03;2000;03;0,995382247;536,9970317;1,004633793;650;101650;38415;9,6;8,896;-1,22;4,64;173028;201941;1220;1743
2000-04;2000;04;1,015585979;607,3769974;0,999047494;650;103387;39520;9,6;10,4376;-0,62;5,35;174007;205197;1220;1743
2000-05;2000;05;1,024011606;613,3827405;1,012475006;650;105124;40625;9,6;11,26256;1,11;7,1;174986;208453;1220;1743
2000-06;2000;06;1,0263577;612,2260382;1,009631765;650;106861;41730;9,853;11,557536;2,08;7,65;175965;211709;1220;1743
2000-07;2000;07;1,021450287;611,385547;1,007728695;650;108598;42835;10,06;12,1345216;2,2;7,91;176944;214965;1220;1743
2000-08;2000;08;1,026503829;609,2004333;1,003102167;650;110335;43940;10,06;11,38071296;3,08;7,9;177923;218221;1220;1743
2000-09;2000;09;1,047876684;610,9482183;1,006905388;650;112072;45045;10,06;10,42842778;3,67;7,84;178902;221477;1220;1743
2000-10;2000;10;1,04977976;610,1597114;1,005297358;650;113809;46150;10,09227273;10,05705667;3,43;7,82;179881;224733;1220;1743
2000-11;2000;11;1,0406671;607,1283744;0,998573227;650;115546;47255;10,77;10,134234;2,89;7,57;180860;227989;1220;1743
2000-12;2000;12;1,048138039;606,187589;0,996825265;650;117283;48360;10,77;9,7805404;3,3;7,61;181839;231245;1220;1743
2001-01;2001;01;1,057019648;604,8950782;0,993986463;650;119020;49465;10,77;9,26832424;5,53;9,26;182818;234501;1343;1809
2001-02;2001;02;1,058555046;611,742065;1,008305906;650;120757;50570;10,77;9,460994544;3,97;8,19;183797;237757;1343;1809
2001-03;2001;03;1,06234892;615,2583214;1,016824866;650;122494;51675;10,69;9,776596726;5,11;9,18;184776;241013;1343;1809
2001-04;2001;04;1,068127067;616,7610459;1,019280632;650;124231;52780;10,33;10,26595804;4,5;9,21;185755;244269;1343;1809
2001-05;2001;05;1,067301407;612,2458033;1,009322085;650;125968;53885;10,33;11,75957482;2,3;7,97;186734;247525;1343;1809
2001-06;2001;06;1,044264587;612,9147356;1,011391511;650;127705;54990;10,33;14,25574489;1,31;8,18;187713;250781;1343;1809
2001-07;2001;07;1,032285704;607,7848876;0,999637935;650;129442;56095;10,33;15,95344694;1,03;8,15;188692;254037;1343;1809
2001-08;2001;08;1,02178767;607,7164367;0,999823673;650;131179;57200;10,33;17,67206816;0,8;8,8;189671;257293;1343;1809
2001-09;2001;09;1,01617349;606,5472547;0,996948306;650;132916;58305;10,33;19,4032409;0,67;9,15;190650;260549;1343;1809
2001-10;2001;10;1,010794611;603,4264879;0,990495566;650;134653;59410;10,33;19,94194454;1,01;9,13;191629;263805;1343;1809
2001-11;2001;11;1,013227875;601,9457153;0,986761199;650;136390;60515;9,765909091;20,56516672;1,16;9,37;192608;267061;1343;1809
2001-12;2001;12;1,010791456;600,9372936;0,985023865;650;138127;61620;9,6;21,43910003;0,91;9,6;193587;270317;1343;1809
2002-01;2002;01;1,008898051;604,149799;0,992111541;650;139864;62725;9,6;22,66346002;0,51;9,99;194566;273573;1708;1807
2002-02;2002;02;0,999066158;598,6947218;1,02681624;650;141601;63830;9,6;23,09807601;0,77;9,77;195545;276829;1708;1807
2002-03;2002;03;1,008183002;600,3208731;1,023297747;650;143338;64935;9,552631579;22,95884561;-0,03;8,7;196524;280085;1708;1807
2002-04;2002;04;1,001808627;622,6168899;1,019145502;650;145075;66040;9,1365;21,47530736;0,51;8;197503;283341;1708;1807
2002-05;2002;05;0,99769986;623,1210927;1,022379789;650;146812;67145;8,627;18,88518442;1,51;7,52;198482;286597;1708;1807
2002-06;2002;06;0,995489775;623,402031;1,025057876;650;148549;68250;8,292105263;16,03111065;2;6,9;199461;289853;1708;1807
2002-07;2002;07;1,003363731;629,9834022;1,021192807;650;150286;69355;8,15;13,61866639;2,43;6,64;200440;293109;1708;1807
2002-08;2002;08;1,008670364;629,8088527;1,020276939;650;152023;70460;7,576666667;11,67119983;2,69;5,98;201419;296365;1708;1807
2002-09;2002;09;1,02810762;639,1048529;1,025796923;747;153760;71565;7,112857143;10,2027199;2,64;5,77;202398;299621;1708;1807
2002-10;2002;10;1,028796058;637,5134364;1,019999268;714;155497;72670;6,69173913;9,12163194;2,88;5,9;203377;302877;1708;1807
2002-11;2002;11;1,037949926;635,2653343;1,014903156;663;157234;73775;6,167142857;7,772979164;3,19;5,65;204356;306133;1708;1807
2002-12;2002;12;1,052384412;658,5877239;1,018183453;532;158971;74880;5,827894737;6,563787499;3,32;5,39;205335;309389;1708;1807
2003-01;2003;01;1,06195681;658,388325;1,017640012;430;160708;75985;5,63;5,038272499;4,02;5,52;206314;312645;2065;2255
2003-02;2003;02;1,071818584;657,2067753;1,039549705;612;162445;77090;5,2775;4,122963499;4,05;5,65;207293;315901;2065;2255
2003-03;2003;03;1,094751667;677,0121512;1,043230585;726;164182;78195;5,16;4,3737781;3,4;5,69;208272;319157;2065;2255
2003-04;2003;04;1,095957591;672,5334386;1,029655484;669;165919;79300;5,16;4,52426686;3,22;5,59;209251;322413;2065;2255
2003-05;2003;05;1,094786458;672,0282057;1,031183174;650;167656;80405;5,16;4,514560116;3,39;5,62;210230;325669;2065;2255
2003-06;2003;06;1,102290972;675,5200158;1,033003444;662;169393;81510;5,16;4,00873607;3,75;5,61;211209;328925;2065;2255
2003-07;2003;07;1,111916504;675,3082351;1,034983522;862;171130;82615;5,16;3,305241642;4,02;5,65;212188;332181;2065;2255
2003-08;2003;08;1,141181447;675,8182586;1,037801783;679;172867;83720;5,16;2,983144985;3,59;5,69;213167;335437;2065;2255
2003-09;2003;09;1,154644682;681,8022344;1,035459396;878;174604;84825;5,16;2,989886991;3,27;5,59;214146;338693;2065;2255
2003-10;2003;10;1,149683803;679,3079356;1,033224683;889;182510;88185;5,16;2,893932195;3,23;5,48;218400;345046;2065;2255
2003-11;2003;11;1,148874391;677,5657953;1,030051121;717;187705;93471;5,16;3,236359317;2,95;5,52;217158;347674;2065;2255
2003-12;2003;12;1,151378853;683,5144604;1,026558853;693;187886;100953;5,16;3,74181559;2,58;5,38;217821;346444;2065;2255
2004-01;2004;01;1,148090371;682,1913481;1,025572638;498;184126;105212;5,16;3,645089354;0,91;3,33;220597;365276;1607;2236
2004-02;2004;02;1,148123046;681,8948721;1,027976485;654;189310;106597;5,16;3,587053612;1,03;3,33;218152;378279;1607;2236
2004-03;2004;03;1,157596747;709,0269042;1,034328822;880;188648;118972;5,16;3,152232167;1,99;3,78;217677;401286;1607;2236
2004-04;2004;04;1,169672741;706,91865;1,038092585;640;189062;121847;5,16;3,3913393;1,75;3,99;220379;402966;1607;2236
2004-05;2004;05;1,183659305;704,8340228;1,036161735;710;191647;119765;5,32;4,43480358;1,35;4,61;222660;406063;1607;2236
2004-06;2004;06;1,199726753;701,7144007;1,050521339;1006;192590;119882;5,59;5,560882148;1,1;5,06;224551;423976;1607;2236
2004-07;2004;07;1,213241669;699,3108846;1,045976004;600;192712;114571;6,06;6,136529289;1,43;5,06;226456;439903;1607;2236
2004-08;2004;08;1,230306766;700,7340783;1,054024666;704;201901;123972;6,06;6,781917573;1,45;5,18;226207;462471;1607;2236
2004-09;2004;09;1,233156933;723,3743213;1,055422114;1026;219865;129482;6,273636364;6,869150544;1,81;5,25;245251;465664;1607;2236
2004-10;2004;10;1,242763079;721,7822766;1,051638151;1097;249052;140155;6,551904762;7,021490326;1,6;5,32;277782;476949;1607;2236
2004-11;2004;11;1,243718699;718,5102664;1,049188345;1165;283017;146576;6,99;7,112894196;1,63;5,44;306660;476776;1607;2236
2004-12;2004;12;1,270187468;716,2681503;1,050083882;1078;305840;145004;7,877727273;7,167736518;2,02;6,02;340650;490928;1607;2236
2005-01;2005;01;1,297633008;714,4287931;1,04490793;695;330741;138144;7,92;7,000641911;2,56;6,61;363396;490012;2598;2783
2005-02;2005;02;1,334055843;714,9234866;1,073501589;921;345479;142776;8,081;7,100385146;2,14;6,72;384586;515249;2598;2783
2005-03;2005;03;1,394401463;718,8810188;1,070236542;921;369034;147258;8,4375;6,760231088;1,76;6,52;420586;526969;2598;2783
2005-04;2005;04;1,454779755;716,0467298;1,061580864;915;392245;158893;8,61;5,656138653;2,34;6,75;445225;545017;2598;2783
2005-05;2005;05;1,491279497;714,9270966;1,059387515;725;412911;165820;8,61;3,893683192;3,56;6,57;460524;575391;2598;2783
2005-06;2005;06;1,540585629;724,2145392;1,066811716;791;426144;160794;9,026190476;2,636209915;3,39;6,33;486769;584161;2598;2783
2005-07;2005;07;1,568811856;720,9315195;1,059668071;725;435473;161390;9,07;2,081725949;3,05;6,6;519087;591080;2598;2783
2005-08;2005;08;1,601384753;720,7579095;1,056669711;774;459965;149236;9,07;1,649035569;2,93;6,71;538585;608948;2598;2783
2005-09;2005;09;1,613889754;727,5107073;1,061911452;899;489705;179356;9,131818182;2,589421342;1,96;6,85;575889;628067;2598;2783
2005-10;2005;10;1,604081732;721,5456221;1,049981323;783;509708;178271;9,75;3,053652805;2,14;6,87;602828;623377;2598;2783
2005-11;2005;11;1,603295248;719,2916545;1,044630715;735;530537;205522;9,75;2,932191683;2,92;7,29;622929;642114;2598;2783
2005-12;2005;12;1,614887755;734,4956971;1,046315603;622;544418;201797;9,95952381;2,75931501;2,94;7,2;658406;659988;2598;2783
2006-01;2006;01;1,641773412;732,8893103;1,04286151;516;549110;203627;10,01380952;2,955589006;3,76;8,31;666681;667552;2205;2868
2006-02;2006;02;1,653549748;731,936075;1,067420321;759;577017;204566;10,2;2,973353404;4,33;8,59;682804;737388;2205;2868
2006-03;2006;03;1,66573624;739,8515151;1,068604467;908;598850;222785;10,25826087;3,784012042;3,91;8,56;698514;847384;2205;2868
2006-04;2006;04;1,66528294;736,8174207;1,058694317;618;622878;240479;10,87;5,570407225;2,8;8,4;712658;911356;2205;2868
2006-05;2006;05;1,653442649;732,1976052;1,057904335;779;639337;241512;11,15714286;8,142244335;1,08;8,73;731976;905295;2205;2868
2006-06;2006;06;1,642152433;732,4957033;1,060196995;601;657183;241335;11,54;10,5853466;0,67;8,76;743878;959693;2205;2868
2006-07;2006;07;1,633285517;726,7648521;1,050869205;490;659527;254653;12,11428571;12,65120796;1,68;10,22;750871;961605;2205;2868
2006-08;2006;08;1,62576482;725,4357569;1,089377137;415;660241;254952;12,45;14,69072478;1,88;10,6;748609;933711;2205;2868
2006-09;2006;09;1,618646852;733,846699;1,090941097;486;669734;278667;12,90142857;14,91443487;2,99;10,79;758656;946667;2205;2868
2006-10;2006;10;1,625365381;731,392927;1,087146431;581;678808;291870;13,09;14,74866092;3,59;11,01;769747;928125;2205;2868
2006-11;2006;11;1,617188147;730,7256869;1,091161751;628;683886;320783;13,09;14,94919655;3,02;10,54;773696;962675;2205;2868
2006-12;2006;12;1,620577179;744,0889281;1,094035853;635;707531;329420;13,14526316;14,86951793;2,68;9,82;780351;1077672;2706;3529
2007-01;2007;01;1,602790673;753,6221945;1,097011659;522;715164;319154;13,3;15,22171076;3,05;10,15;798309;1040269;2706;3529
2007-02;2007;02;1,614683513;752,9506061;1,119315276;707;704222;319082;13,3;15,83302646;2,23;9,81;797279;1062708;2706;3529
2007-03;2007;03;1,626779053;767,0796291;1,126036484;913;744351;306760;13,3;14,19981587;3,66;9,74;800383;1168231;2706;3529
2007-04;2007;04;1,662634382;775,8581483;1,132285511;804;731769;340812;13,3;12,71988952;4,33;9,85;801287;1236345;2706;3529
2007-05;2007;05;1,672235119;773,506574;1,129508537;969;743067;364104;13,3;11,63193371;4,72;9,62;813255;1187069;2706;3529
2007-06;2007;06;1,688985961;774,6529446;1,119619865;1033;754827;346035;13,3;9,979160229;5,61;9,85;824943;1224897;2706;3529
2007-07;2007;07;1,702162932;772,5895039;1,115971753;999;765837;384608;13,3;8,587496137;4,33;8,26;833997;1242561;2706;3529
2007-08;2007;08;1,721791494;771,8483418;1,116821497;864;782654;392421;13,3;6,952497682;4,37;7,97;847019;1378334;2706;3529
2007-09;2007;09;1,762242711;779,855266;1,126016104;924;799376;431176;13,3;6,271498609;3,76;8,1;857179;1344424;2706;3529
2007-10;2007;10;1,745484444;777,2613108;1,1164016;956;804297;436637;13,3;6,062899166;3,43;8,06;863545;1323996;2706;3529
2007-11;2007;11;1,760426619;775,2270319;1,110192025;768;820364;454563;13,75;6,437739499;2,93;8,27;855231;1433378;2706;3529
2007-12;2007;12;1,761333223;778,6408916;1,105980726;540;836672;517150;13,75;7,3626437;2,57;8,58;844956;1518618;2706;3529
2008-01;2008;01;1,75560305;775,24492;1,099105485;324;882168;551883;13,75;7,51758622;0,43;6,23;868949;1626861;1707;3869
2008-02;2008;02;1,74018221;774,5908676;1,104984765;425;887729;559438;13,75;9,010551732;0;6,79;853016;1720691;1707;3869
2008-03;2008;03;1,759100909;807,8000521;1,120675554;354;930156;582538;14,09722222;12,20633104;-0,86;7,79;915948;2060315;1707;3869
2008-04;2008;04;1,734463944;803,4854715;1,154374277;310;919526;569942;15,33333333;18,02379862;-3,16;8,23;909930;2007113;1707;3869
2008-05;2008;05;1,69782463;804,7577283;1,175497922;252;946431;594061;15,5;22,51427917;-3,92;7,92;938881;2072413;1707;3869
2008-06;2008;06;1,630609545;811,8615166;1,159125342;208;956661;602940;15,5;26,0085675;-3,74;8,53;943961;2152680;1707;3869
2008-07;2008;07;1,609253154;824,9542504;1,152129006;361;965844;614189;15,5;29,2051405;-3,95;9,07;965594;2143560;1707;3869
2008-08;2008;08;1,602870519;825,923693;1,176694584;286;967886;617248;15,5;32,8230843;-4,73;9,12;972117;2222522;1707;3869
2008-09;2008;09;1,578904283;839,2631522;1,166744348;362;1032026;630305;15,5;35,09385058;-4,4;9,01;973626;2855024;1707;3869
2008-10;2008;10;1,543301925;852,349476;1,173069713;312;586718;157403;14,56521739;38,95631035;-6,08;8,84;510842;1261437;1707;3869
2008-11;2008;11;1,522230538;850,2988492;1,20485519;159;611112;180902;18;43,17378621;-7,99;7,79;516313;1463055;1707;3869
2008-12;2008;12;1,47670468;838,0322743;1,217579446;157;593789;198815;18;46,90427173;-8,35;8,27;534939;1302065;1707;3869
2009-01;2009;01;1,433857369;845,7602631;1,223780319;116;583300;214010;18;50,04256304;-9,36;7,49;537541;1173206;149;3536
2009-02;2009;02;1,387968128;840,6424829;1,206630724;145;576666;221692;18;51,62553782;-9,29;6,66;540159;1147023;149;3536
2009-03;2009;03;1,313748215;842,6336869;1,205658348;149;509412;180516;17,59090909;50,87532269;-8,43;5,48;458606;1009003;149;3536
2009-04;2009;04;1,302017719;849,7620591;1,195183149;122;514188;190663;15,91666667;46,82519362;-6,71;4,38;458073;1036190;149;3536
2009-05;2009;05;1,309290242;850,6779627;1,161900396;170;519393;205585;13,39473684;43,79511617;-6,75;4,09;460597;1039886;149;3536
2009-06;2009;06;1,305989847;838,3285644;1,158420846;166;523227;208555;12,1;42,9770697;-8,15;3,03;461274;1062613;149;3536
2009-07;2009;07;1,256245169;835,8721178;1,152702216;182;512490;206557;12;42,28624182;-7,8;2,64;464273;1051432;149;3536
2009-08;2009;08;1,241185185;831,7980781;1,157198367;154;508464;212434;12;41,37174509;-7,85;2,2;456745;1044592;149;3536
2009-09;2009;09;1,256704804;820,5118057;1,168723772;228;507234;217541;12;40,12304706;-8,01;1,93;455785;1047177;149;3536
2009-10;2009;10;1,249190539;820,270333;1,170219957;212;509111;236248;12;37,87382823;-7,1;1,92;465445;1049737;149;3536
2009-11;2009;11;1,246783916;817,9202886;1,1651677;207;513174;239816;11,14285714;35,12429694;-4,25;4,01;491104;1017907;149;3536
